,precision,recall,f1,accuracy
Baseline,0.0816326530612244,0.2857142857142857,0.126984126984127,0.2857142857142857
Baseline_AE,1.0,1.0,1.0,1.0
Baseline_DCGAN,1.0,1.0,1.0,1.0
